ratio,tp_size,profit,hit_rate,duration
0.1660927428429826,0.1660927428429826,0.0008246738259133898,2.977,14.428886164466139
0.1660927428429826,0.20270175377286037,0.0009646907232230561,2.8535000000000004,14.948276975103195
0.1660927428429826,0.24738982830203593,0.0011784000748101,2.856,14.992012159308757
0.1660927428429826,0.30194476813729665,0.0014375080167599442,2.8545,14.743843510074278
0.1660927428429826,0.36855237846453726,0.001604632687897612,2.6105,16.34442669360151
0.1660927428429826,0.44988623776855974,0.001953498172295743,2.6035000000000004,16.46141628313481
0.1660927428429826,0.5492182837010473,0.002181007209489386,2.381,17.874623372677846
0.1660927428429826,0.6705553170825551,0.002451477318774815,2.192,19.35732408621355
0.1660927428429826,0.8188079075715171,0.0028473496861697737,2.085,20.77918691585398
0.1660927428429826,1.0000000000000009,0.0029036982995034708,1.741,24.433083146548245
0.1660927428429826,1.2215299319606077,0.002930668514983825,1.4385,30.297809609408546
0.1660927428429826,1.4924968137923766,0.003385361416371992,1.36,32.46162955793462
0.1660927428429826,1.8241106301397636,0.0036249159407613137,1.1915,36.32419368354017
0.1660927428429826,2.2302104956207325,0.0036005921620397836,0.968,43.3037243218749
0.1660927428429826,2.727923977002522,0.0038194926852260745,0.8394999999999999,50.833635080245685
0.1660927428429826,3.3385123976689135,0.0040535645364750275,0.728,59.22650790468553
0.1660927428429826,4.0884642722309295,0.004104964610237893,0.602,69.81081979671322
0.1660927428429826,5.010924118203741,0.004237195521752565,0.507,82.92513020833334
0.1660927428429826,6.147580998958779,0.0043780917004010884,0.427,98.00584140290022
0.1660927428429826,7.551196869063537,0.004483513792543276,0.356,115.75148456057008
0.1660927428429826,9.28903982013387,0.004446368374632976,0.287,141.03797820284697
0.1660927428429826,11.44761932505236,0.004448604729943397,0.233,169.31764228528516
0.1660927428429826,14.139329286890723,0.0043862610175773795,0.186,nan
0.1660927428429826,17.511941266179853,0.004147394577103172,0.142,nan
0.1660927428429826,21.762444753190646,0.0039925750261438474,0.11,nan
0.1660927428429826,27.157666449487493,0.002989434929694778,0.066,nan
0.1660927428429826,34.06571830144334,0.0019317422873698783,0.034,nan
0.20270175377286037,0.1660927428429826,0.0008588859864947764,2.541,13.550904977375566
0.20270175377286037,0.20270175377286037,0.0010143696105732942,2.459,14.232395875184144
0.20270175377286037,0.24738982830203593,0.0012072889140016018,2.398,14.650576068437168
0.20270175377286037,0.30194476813729665,0.0014298948005426043,2.327,15.312617485920896
0.20270175377286037,0.36855237846453726,0.0016849454143265132,2.2465,15.584013131325014
0.20270175377286037,0.44988623776855974,0.0019679785128520894,2.1494999999999997,16.71218298056539
0.20270175377286037,0.5492182837010473,0.00226781293704123,2.029,17.330259489037232
0.20270175377286037,0.6705553170825551,0.0025627744953173517,1.878,19.254820210051623
0.20270175377286037,0.8188079075715171,0.00282776988645117,1.697,21.125865504432824
0.20270175377286037,1.0000000000000009,0.003007839295653107,1.478,24.05684503681274
0.20270175377286037,1.2215299319606077,0.003030316661078595,1.219,29.136879349806158
0.20270175377286037,1.4924968137923766,0.0033501875462607104,1.103,31.767337144089733
0.20270175377286037,1.8241106301397636,0.0036193950217382684,0.975,37.31802462079419
0.20270175377286037,2.2302104956207325,0.0036853783425172698,0.812,42.55873070894336
0.20270175377286037,2.727923977002522,0.003955463000796706,0.7124999999999999,50.525856973995275
0.20270175377286037,3.3385123976689135,0.004035707046392304,0.594,59.327725967763115
0.20270175377286037,4.0884642722309295,0.004210085527352042,0.506,68.7437198484754
0.20270175377286037,5.010924118203741,0.004303387676896844,0.422,81.66071428571428
0.20270175377286037,6.147580998958779,0.004453838369329299,0.356,95.77323494104316
0.20270175377286037,7.551196869063537,0.004548704232007202,0.296,117.39802692005811
0.20270175377286037,9.28903982013387,0.004499124140455093,0.238,134.85519358785825
0.20270175377286037,11.44761932505236,0.004612756868077738,0.198,168.75985138960917
0.20270175377286037,14.139329286890723,0.004316187101822247,0.15,nan
0.20270175377286037,17.511941266179853,0.004347847645600363,0.122,nan
0.20270175377286037,21.762444753190646,0.003853072040146808,0.087,nan
0.20270175377286037,27.157666449487493,0.0030950001313940797,0.056,nan
0.20270175377286037,34.06571830144334,0.0022877664429479605,0.033,nan
0.24738982830203593,0.1660927428429826,0.0008974643756591089,2.176,13.127396442032751
0.24738982830203593,0.20270175377286037,0.0010602948210172458,2.1065,14.323128709910215
0.24738982830203593,0.24738982830203593,0.001242754637321644,2.023,14.488921741491794
0.24738982830203593,0.30194476813729665,0.0014590763404924636,1.946,14.858094056481153
0.24738982830203593,0.36855237846453726,0.0017251157620325657,1.885,15.13690626276031
0.24738982830203593,0.44988623776855974,0.0020209191786026777,1.809,15.939620241292275
0.24738982830203593,0.5492182837010473,0.002323925746695754,1.704,17.244051249957963
0.24738982830203593,0.6705553170825551,0.0026441907343687262,1.588,18.33365297551982
0.24738982830203593,0.8188079075715171,0.002903473763828747,1.428,20.062588384403348
0.24738982830203593,1.0000000000000009,0.003131286149494831,1.261,23.3807388565533
0.24738982830203593,1.2215299319606077,0.003168255722707737,1.0445,28.560221907329197
0.24738982830203593,1.4924968137923766,0.0034374390107904376,0.9275,31.331367326230342
0.24738982830203593,1.8241106301397636,0.0036667026949879123,0.8095000000000001,35.36889057682569
0.24738982830203593,2.2302104956207325,0.003760306972905237,0.679,43.35004813367086
0.24738982830203593,2.727923977002522,0.0040033855230318565,0.591,48.68262434892951
0.24738982830203593,3.3385123976689135,0.00410360795179633,0.495,58.84314125215185
0.24738982830203593,4.0884642722309295,0.004263999722683058,0.42,70.06016884712122
